"Number" "Date" "Time" "Interface" "Origin" "Type" "Action" "Service" "Source Port" "Source" "Destination" "Protocol" "Rule" "Rule Name" "Current Rule Number" "User" "Information" "Product" "Source Machine Name" "Source User Name"
"3870688" "2Jun2023" "10:04:36" "eth1" "fwnetels" "Log" "Accept" "https" "60175" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3909858" "2Jun2023" "10:42:19" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51045" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3914843" "2Jun2023" "10:47:13" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52786" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3921394" "2Jun2023" "10:51:15" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52029" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3921395" "2Jun2023" "10:51:15" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52883" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3929471" "2Jun2023" "10:59:06" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51128" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3929472" "2Jun2023" "10:59:06" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52565" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3935784" "2Jun2023" "11:04:29" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52970" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3935785" "2Jun2023" "11:04:29" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51176" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3940693" "2Jun2023" "11:09:28" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52259" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3971703" "2Jun2023" "11:42:55" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52023" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3971704" "2Jun2023" "11:42:55" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51020" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3986719" "2Jun2023" "11:59:47" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52696" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3986720" "2Jun2023" "11:59:47" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50851" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4011247" "2Jun2023" "12:27:11" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "53016" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4011248" "2Jun2023" "12:27:11" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50963" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4019128" "2Jun2023" "12:36:28" "eth1" "fwnetels" "Log" "Accept" "https" "58183" "192.100.100.167" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"4028560" "2Jun2023" "12:46:10" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51007" "SRV_Beta" "216.123.224.131" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4028561" "2Jun2023" "12:46:10" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51702" "SRV_Beta" "216.123.224.131" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4081236" "2Jun2023" "13:47:55" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52312" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4091361" "2Jun2023" "14:00:31" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "53049" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4091362" "2Jun2023" "14:00:31" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51645" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4092347" "2Jun2023" "14:01:42" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52184" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4100095" "2Jun2023" "14:11:49" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52256" "SRV_Beta" "74.123.224.40" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4173616" "2Jun2023" "15:48:19" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51709" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4190160" "2Jun2023" "16:17:27" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51277" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4190161" "2Jun2023" "16:17:27" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52374" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4280319" "2Jun2023" "19:55:31" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51814" "SRV_NS" "205.251.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4280388" "2Jun2023" "19:55:35" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51465" "SRV_NS" "205.251.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4282710" "2Jun2023" "20:00:36" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "53030" "SRV_NS" "205.251.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4575193" "3Jun2023" "10:59:15" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "53251" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4575282" "3Jun2023" "10:59:36" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "53625" "SRV_NS" "74.123.224.37" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4728856" "3Jun2023" "18:35:30" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51810" "SRV_NS" "189.14.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"4886915" "4Jun2023" "2:46:09" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51533" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5144579" "4Jun2023" "15:29:43" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "53001" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5257267" "4Jun2023" "20:37:29" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51495" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5257268" "4Jun2023" "20:37:29" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51028" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5464673" "5Jun2023" "6:40:41" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50785" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5548412" "5Jun2023" "7:54:19" "eth1" "fwnetels" "Log" "Accept" "https" "51616" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5548422" "5Jun2023" "7:54:20" "eth1" "fwnetels" "Log" "Accept" "https" "51619" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5562963" "5Jun2023" "8:06:40" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51612" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5642000" "5Jun2023" "9:02:20" "eth1" "fwnetels" "Log" "Accept" "https" "65508" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5718265" "5Jun2023" "9:56:40" "eth1" "fwnetels" "Log" "Accept" "https" "51051" "192.100.100.205" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5718272" "5Jun2023" "9:56:40" "eth1" "fwnetels" "Log" "Accept" "https" "51053" "192.100.100.205" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5749212" "5Jun2023" "10:17:26" "eth1" "fwnetels" "Log" "Accept" "https" "55771" "192.100.100.182" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5750725" "5Jun2023" "10:18:04" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52258" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5750727" "5Jun2023" "10:18:04" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52400" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5861985" "5Jun2023" "11:53:24" "eth1" "fwnetels" "Log" "Accept" "https" "61607" "192.100.100.213" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5861990" "5Jun2023" "11:53:25" "eth1" "fwnetels" "Log" "Accept" "https" "61609" "192.100.100.213" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5861991" "5Jun2023" "11:53:25" "eth1" "fwnetels" "Log" "Accept" "https" "61610" "192.100.100.213" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5871126" "5Jun2023" "12:01:00" "eth1" "fwnetels" "Log" "Accept" "https" "52542" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5889466" "5Jun2023" "12:18:26" "eth1" "fwnetels" "Log" "Accept" "https" "52874" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5906980" "5Jun2023" "12:36:53" "eth1" "fwnetels" "Log" "Accept" "https" "53145" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"5940931" "5Jun2023" "13:03:56" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51694" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"5940932" "5Jun2023" "13:03:56" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50665" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"6044652" "5Jun2023" "14:45:18" "eth1" "fwnetels" "Log" "Accept" "https" "63848" "192.100.100.233" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6044679" "5Jun2023" "14:45:19" "eth1" "fwnetels" "Log" "Accept" "https" "63853" "192.100.100.233" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6044681" "5Jun2023" "14:45:19" "eth1" "fwnetels" "Log" "Accept" "https" "63854" "192.100.100.233" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6047358" "5Jun2023" "14:48:29" "eth1" "fwnetels" "Log" "Accept" "https" "54421" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6057101" "5Jun2023" "14:59:31" "eth1" "fwnetels" "Log" "Accept" "https" "64121" "192.100.100.233" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6057106" "5Jun2023" "14:59:32" "eth1" "fwnetels" "Log" "Accept" "https" "64124" "192.100.100.233" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6068355" "5Jun2023" "15:15:02" "eth1" "fwnetels" "Log" "Accept" "https" "64253" "192.100.100.233" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6440859" "6Jun2023" "6:47:38" "eth1" "fwnetels" "Log" "Accept" "https" "55947" "192.100.100.122" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6447965" "6Jun2023" "6:58:31" "eth1" "fwnetels" "Log" "Accept" "https" "56171" "SRV_CTX_XA7" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6486741" "6Jun2023" "7:37:42" "eth1" "fwnetels" "Log" "Accept" "https" "56079" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6486910" "6Jun2023" "7:37:46" "eth1" "fwnetels" "Log" "Accept" "https" "56114" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6525052" "6Jun2023" "8:07:54" "eth1" "fwnetels" "Log" "Accept" "https" "56733" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6525059" "6Jun2023" "8:07:54" "eth1" "fwnetels" "Log" "Accept" "https" "56736" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6566811" "6Jun2023" "8:39:51" "eth1" "fwnetels" "Log" "Accept" "https" "49911" "192.100.100.222" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6566812" "6Jun2023" "8:39:51" "eth1" "fwnetels" "Log" "Accept" "https" "49912" "192.100.100.222" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6588289" "6Jun2023" "8:56:43" "eth1" "fwnetels" "Log" "Accept" "https" "50101" "192.100.100.222" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6694405" "6Jun2023" "10:21:24" "eth1" "fwnetels" "Log" "Accept" "https" "59631" "192.100.100.77" "18.223.224.138" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6701341" "6Jun2023" "10:27:30" "eth1" "fwnetels" "Log" "Accept" "https" "49255" "SRV_CTX_XA7" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6701342" "6Jun2023" "10:27:30" "eth1" "fwnetels" "Log" "Accept" "https" "49256" "SRV_CTX_XA7" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6703223" "6Jun2023" "10:29:19" "eth1" "fwnetels" "Log" "Accept" "https" "49527" "SRV_CTX_XA7" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6705751" "6Jun2023" "10:31:19" "eth1" "fwnetels" "Log" "Accept" "https" "49737" "192.100.100.84" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6792785" "6Jun2023" "11:50:55" "eth1" "fwnetels" "Log" "Accept" "https" "55573" "192.100.100.215" "3.223.224.44" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6939205" "6Jun2023" "13:49:51" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52343" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"6941499" "6Jun2023" "13:52:30" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52554" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"6942334" "6Jun2023" "13:53:35" "eth1" "fwnetels" "Log" "Accept" "https" "64246" "192.100.100.194" "3.223.224.44" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"6942490" "6Jun2023" "13:53:42" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52165" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"6943586" "6Jun2023" "13:54:46" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52884" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"6944575" "6Jun2023" "13:56:02" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52973" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"6986622" "6Jun2023" "14:32:38" "eth1" "fwnetels" "Log" "Accept" "https" "54939" "SRV_CTX_XA7" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7038781" "6Jun2023" "15:22:36" "eth1" "fwnetels" "Log" "Accept" "https" "63766" "192.100.100.204" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7038815" "6Jun2023" "15:22:38" "eth1" "fwnetels" "Log" "Accept" "https" "63782" "192.100.100.204" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7353267" "7Jun2023" "3:08:00" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51465" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"7440413" "7Jun2023" "6:38:50" "eth1" "fwnetels" "Log" "Accept" "https" "52839" "192.100.100.179" "3.223.224.44" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7441022" "7Jun2023" "6:39:18" "eth1" "fwnetels" "Log" "Accept" "https" "52994" "192.100.100.179" "3.223.224.44" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7559517" "7Jun2023" "8:32:27" "eth1" "fwnetels" "Log" "Accept" "https" "52716" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7631164" "7Jun2023" "9:34:29" "eth1" "fwnetels" "Log" "Accept" "https" "57294" "192.100.100.244" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7631167" "7Jun2023" "9:34:30" "eth1" "fwnetels" "Log" "Accept" "https" "57296" "192.100.100.244" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7631169" "7Jun2023" "9:34:30" "eth1" "fwnetels" "Log" "Accept" "https" "57297" "192.100.100.244" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"7637475" "7Jun2023" "9:38:24" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "53330" "SRV_NS" "205.251.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"7637539" "7Jun2023" "9:38:27" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51629" "SRV_NS" "205.251.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"8066608" "7Jun2023" "16:10:10" "eth1" "fwnetels" "Log" "Accept" "https" "60281" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"8088252" "7Jun2023" "16:38:09" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "51364" "SRV_NS" "108.162.192.74" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"8380289" "8Jun2023" "6:19:44" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52711" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"8380481" "8Jun2023" "6:20:06" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52784" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"8380494" "8Jun2023" "6:20:07" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51328" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"8385844" "8Jun2023" "6:26:24" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50631" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"8386110" "8Jun2023" "6:26:29" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52877" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"8450922" "8Jun2023" "7:23:32" "eth1" "fwnetels" "Log" "Accept" "https" "53920" "192.100.100.165" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"8479499" "8Jun2023" "7:51:36" "eth1" "fwnetels" "Log" "Accept" "https" "53600" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"8484092" "8Jun2023" "7:55:44" "eth1" "fwnetels" "Log" "Accept" "https" "53672" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"8490232" "8Jun2023" "8:00:37" "eth1" "fwnetels" "Log" "Accept" "https" "53716" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
