"Number" "Date" "Time" "Interface" "Origin" "Type" "Action" "Service" "Source Port" "Source" "Destination" "Protocol" "Rule" "Rule Name" "Current Rule Number" "User" "Information" "Product" "Source Machine Name" "Source User Name"
"1693464" "31May2023" "9:47:48" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "53218" "SRV_NS" "74.123.224.40" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"1728821" "31May2023" "10:12:51" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52651" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"1728963" "31May2023" "10:12:57" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52013" "SRV_Demeter" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"1766716" "31May2023" "10:32:10" "eth1" "fwnetels" "Log" "Accept" "https" "59774" "HOST_DemetrisN" "107.23.224.31" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"1845469" "31May2023" "11:27:05" "eth1" "fwnetels" "Log" "Accept" "https" "55242" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"1887226" "31May2023" "11:57:02" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52711" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"1898005" "31May2023" "12:03:13" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52106" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"1898006" "31May2023" "12:03:13" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52298" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"1938020" "31May2023" "12:32:56" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52683" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"1938021" "31May2023" "12:32:56" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52870" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
